-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,408,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
777,782,783,784,785,786,787,788,789,790,791,792,782,782,782,782,782,782,782,782,782,782,782,782,782,783,784,785,786,787,788,789,790,791,792,782,783,784,785,786,787,788,789,790,791,792,782,783,784,785,786,787,788,789,790,791,792,782,783,784,785,786,787,788,789,790,782,783,784,785,786,787,788,789,790,791,792,782,783,784,785,786,787,788,789,790,791,782,783,784,785,786,787,788,789,790,791,792,791,792,782,783,784,785,786,787,788,789,790,791,792,782,783,784,785,786,787,788,789,790,791,782,783,784,785,786,787,788,789,790,791,792,782,783,784,785,786,787,788,789,790,791,782,783,784,785,786,787,788,789,790,791,792,782,783,784,785,786,787,788,789,790,791,792,782,783,784,785,786,787,788,789,790,791,792,782,782,783,784,785,786,787,788,789,790,782,783,784,785,786,787,788,789,790,791,782,782,783,784,785,786,787,788,789,790,791,782,783,784,785,786,787,788,789,790,791,792,782,783,784,785,786,787,788,789,790,791,792,782,783,784,785,786,787,788,789,790,791,792,782,783,784,785,786,787,788,789,790,791,792,782,783,784,785,786,787,788,789,790,782,783,784,785,786,787,788,789,790,791,792,782,783,784,785,786,787,788,789,790,791,792,782,783,784,785,786,787,788,789,790,791,792,782,782,782,782,782,782,782,782,782,782,782,782,782,782,782,782,782,782,782,782,782,782,782,782,782,782,782,782,782,782,782,782,782,783,784,785,786,787,788,789,790,791,792,782,783,784,785,786,787,788,789,790,791,782,783,784,785,786,782,783,784,785,786,787,788,789,790,791,792
1417,910,911,912,913,914,915,916,917,918,919,920,910,910,910,910,910,910,910,910,910,910,910,910,910,911,912,913,914,915,916,917,918,919,920,910,911,912,913,914,915,916,917,918,919,920,910,911,912,913,914,915,916,917,918,919,920,910,911,912,913,914,915,916,917,918,910,911,912,913,914,915,916,917,918,919,920,910,911,912,913,914,915,916,917,918,919,910,911,912,913,914,915,916,917,918,919,920,919,920,910,911,912,913,914,915,916,917,918,919,920,910,911,912,913,914,915,916,917,918,919,910,911,912,913,914,915,916,917,918,919,920,910,911,912,913,914,915,916,917,918,919,910,911,912,913,914,915,916,917,918,919,920,910,911,912,913,914,915,916,917,918,919,920,910,911,912,913,914,915,916,917,918,919,920,910,910,911,912,913,914,915,916,917,918,910,911,912,913,914,915,916,917,918,919,910,910,911,912,913,914,915,916,917,918,919,910,911,912,913,914,915,916,917,918,919,920,910,911,912,913,914,915,916,917,918,919,920,910,911,912,913,914,915,916,917,918,919,920,910,911,912,913,914,915,916,917,918,919,920,910,911,912,913,914,915,916,917,918,910,911,912,913,914,915,916,917,918,919,920,910,911,912,913,914,915,916,917,918,919,920,910,911,912,913,914,915,916,917,918,919,920,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,911,912,913,914,915,916,917,918,919,920,910,911,912,913,914,915,916,917,918,919,910,911,912,913,914,910,911,912,913,914,915,916,917,918,919,920
1545,1546,712,713,714,715,716,717,718,719,720,712,713,714,715,716,717,718,719,720,712,713,714,715,716,717,718,719,720,712,713,714,715,716,717,718,719,720,712,713,714,715,716,717,718,719,720,712,713,714,715,716,717,718,719,720,712,713,714,715,716,717,718,719,720,712,713,714,715,716,717,718,719,720,712,713,714,715,716,717,718,719,720,712,713,714,715,716,717,718,719,720,712,713,714,715,716,717,718,719,720,712,713,714,715,716,717,718,719,720,712,713,714,715,716,717,718,719,720,712,713,714,715,716,717,718,719,720,712,713,714,715,716,717,718,719,720,712,713,714,715,716,717,718,719,720,712,713,714,715,716,717,718,719,720,712,713,714,715,716,717,718,719,720,712,713,714,715,716,717,718,719,720,712,713,714,715,716,717,718,719,720,712,713,714,715,716,717,718,719,720,712,713,714,715,716,717,718,719,720,712,713,714,715,716,717,718,719,720,712,713,714,715,716,717,718,719,720,712,713,714,715,716,717,718,719,720,712,713,714,715,716,717,718,719,720,712,713,714,715,716,717,718,719,720,712,713,714,715,716,717,718,719,720,712,713,714,715,716,717,718,719,720,712,713,714,715,716,717,718,719,720,712,713,714,715,716,717,718,719,720,712,713,714,715,716,717,718,719,720,712,713,714,715,716,717,718,719,720,712,713,714,715,716,717,718,719,720,712,713,714,715,716,717,718,719,720,712,713,714,715,716,717,718,719,720,712,713,714,715,716,717,718,719,720,712,713,714,715,716,717,718,719,720,712,713,714,715,716,717,718,719,720,712,713,714,715,716,717,2335,2336
1673,1674,840,841,842,843,844,845,846,847,848,840,841,842,843,844,845,846,847,848,840,841,842,843,844,845,846,847,848,840,841,842,843,844,845,846,847,848,840,841,842,843,844,845,846,847,848,840,841,842,843,844,845,846,847,848,840,841,842,843,844,845,846,847,848,840,841,842,843,844,845,846,847,848,840,841,842,843,844,845,846,847,848,840,841,842,843,844,845,846,847,848,840,841,842,843,844,845,846,847,848,840,841,842,843,844,845,846,847,848,840,841,842,843,844,845,846,847,848,840,841,842,843,844,845,846,847,848,840,841,842,843,844,845,846,847,848,840,841,842,843,844,845,846,847,848,840,841,842,843,844,845,846,847,848,840,841,842,843,844,845,846,847,848,840,841,842,843,844,845,846,847,848,840,841,842,843,844,845,846,847,848,840,841,842,843,844,845,846,847,848,840,841,842,843,844,845,846,847,848,840,841,842,843,844,845,846,847,848,840,841,842,843,844,845,846,847,848,840,841,842,843,844,845,846,847,848,840,841,842,843,844,845,846,847,848,840,841,842,843,844,845,846,847,848,840,841,842,843,844,845,846,847,848,840,841,842,843,844,845,846,847,848,840,841,842,843,844,845,846,847,848,840,841,842,843,844,845,846,847,848,840,841,842,843,844,845,846,847,848,840,841,842,843,844,845,846,847,848,840,841,842,843,844,845,846,847,848,840,841,842,843,844,845,846,847,848,840,841,842,843,844,845,846,847,848,840,841,842,843,844,845,846,847,848,840,841,842,843,844,845,846,847,848,840,841,842,843,844,845,846,847,848,840,841,842,843,844,845,1695,1696
1801,1802,968,969,970,971,972,973,974,975,976,968,969,970,971,972,973,974,975,976,968,969,970,971,972,973,974,975,976,968,969,970,971,972,973,974,975,976,968,969,970,971,972,973,974,975,976,968,969,970,971,972,973,974,975,976,968,969,970,971,972,973,974,975,976,968,969,970,971,972,973,974,975,976,968,969,970,971,972,973,974,975,976,968,969,970,971,972,973,974,975,976,968,969,970,971,972,973,974,975,976,968,969,970,971,972,973,974,975,976,968,969,970,971,972,973,974,975,976,968,969,970,971,972,973,974,975,976,968,969,970,971,972,973,974,975,976,968,969,970,971,972,973,974,975,976,968,969,970,971,972,973,974,975,976,968,969,970,971,972,973,974,975,976,968,969,970,971,972,973,974,975,976,968,969,970,971,972,973,974,975,976,968,969,970,971,972,973,974,975,976,968,969,970,971,972,973,974,975,976,968,969,970,971,972,973,974,975,976,968,969,970,971,972,973,974,975,976,968,969,970,971,972,973,974,975,976,968,969,970,971,972,973,974,975,976,968,969,970,971,972,973,974,975,976,968,969,970,971,972,973,974,975,976,968,969,970,971,972,973,974,975,976,968,969,970,971,972,973,974,975,976,968,969,970,971,972,973,974,975,976,968,969,970,971,972,973,974,975,976,968,969,970,971,972,973,974,975,976,968,969,970,971,972,973,974,975,976,968,969,970,971,972,973,974,975,976,968,969,970,971,972,973,974,975,976,968,969,970,971,972,973,974,975,976,968,969,970,971,972,973,974,975,976,968,969,970,971,972,973,974,975,976,968,969,970,971,972,973,1823,1824
1929,1930,1096,1097,1098,1099,1100,1101,1102,1103,1104,1096,1097,1098,1099,1100,1101,1102,1103,1104,1096,1097,1098,1099,1100,1101,1102,1103,1104,1096,1097,1098,1099,1100,1101,1102,1103,1104,1096,1097,1098,1099,1100,1101,1102,1103,1104,1096,1097,1098,1099,1100,1101,1102,1103,1104,1096,1097,1098,1099,1100,1101,1102,1103,1104,1096,1097,1098,1099,1100,1101,1102,1103,1104,1096,1097,1098,1099,1100,1101,1102,1103,1104,1096,1097,1098,1099,1100,1101,1102,1103,1104,1096,1097,1098,1099,1100,1101,1102,1103,1104,1096,1097,1098,1099,1100,1101,1102,1103,1104,1096,1097,1098,1099,1100,1101,1102,1103,1104,1096,1097,1098,1099,1100,1101,1102,1103,1104,1096,1097,1098,1099,1100,1101,1102,1103,1104,1096,1097,1098,1099,1100,1101,1102,1103,1104,1096,1097,1098,1099,1100,1101,1102,1103,1104,1096,1097,1098,1099,1100,1101,1102,1103,1104,1096,1097,1098,1099,1100,1101,1102,1103,1104,1096,1097,1098,1099,1100,1101,1102,1103,1104,1096,1097,1098,1099,1100,1101,1102,1103,1104,1096,1097,1098,1099,1100,1101,1102,1103,1104,1096,1097,1098,1099,1100,1101,1102,1103,1104,1096,1097,1098,1099,1100,1101,1102,1103,1104,1096,1097,1098,1099,1100,1101,1102,1103,1104,1096,1097,1098,1099,1100,1101,1102,1103,1104,1096,1097,1098,1099,1100,1101,1102,1103,1104,1096,1097,1098,1099,1100,1101,1102,1103,1104,1096,1097,1098,1099,1100,1101,1102,1103,1104,1096,1097,1098,1099,1100,1101,1102,1103,1104,1096,1097,1098,1099,1100,1101,1102,1103,1104,1096,1097,1098,1099,1100,1101,1102,1103,1104,1096,1097,1098,1099,1100,1101,1102,1103,1104,1096,1097,1098,1099,1100,1101,1102,1103,1104,1096,1097,1098,1099,1100,1101,1102,1103,1104,1096,1097,1098,1099,1100,1101,1102,1103,1104,1096,1097,1098,1099,1100,1101,1102,1103,1104,1096,1097,1098,1099,1100,1101,1102,1103,1104,1096,1097,1098,1099,1100,1101,1102,1103,1104,1096,1097,1098,1099,1100,1101,1951,1952
2057,2058,1224,1225,1226,1227,1228,1229,1230,1231,1232,1224,1225,1226,1227,1228,1229,1230,1231,1232,1224,1225,1226,1227,1228,1229,1230,1231,1232,1224,1225,1226,1227,1228,1229,1230,1231,1232,1224,1225,1226,1227,1228,1229,1230,1231,1232,1224,1225,1226,1227,1228,1229,1230,1231,1232,1224,1225,1226,1227,1228,1229,1230,1231,1232,1224,1225,1226,1227,1228,1229,1230,1231,1232,1224,1225,1226,1227,1228,1229,1230,1231,1232,1224,1225,1226,1227,1228,1229,1230,1231,1232,1224,1225,1226,1227,1228,1229,1230,1231,1232,1224,1225,1226,1227,1228,1229,1230,1231,1232,1224,1225,1226,1227,1228,1229,1230,1231,1232,1224,1225,1226,1227,1228,1229,1230,1231,1232,1224,1225,1226,1227,1228,1229,1230,1231,1232,1224,1225,1226,1227,1228,1229,1230,1231,1232,1224,1225,1226,1227,1228,1229,1230,1231,1232,1224,1225,1226,1227,1228,1229,1230,1231,1232,1224,1225,1226,1227,1228,1229,1230,1231,1232,1224,1225,1226,1227,1228,1229,1230,1231,1232,1224,1225,1226,1227,1228,1229,1230,1231,1232,1224,1225,1226,1227,1228,1229,1230,1231,1232,1224,1225,1226,1227,1228,1229,1230,1231,1232,1224,1225,1226,1227,1228,1229,1230,1231,1232,1224,1225,1226,1227,1228,1229,1230,1231,1232,1224,1225,1226,1227,1228,1229,1230,1231,1232,1224,1225,1226,1227,1228,1229,1230,1231,1232,1224,1225,1226,1227,1228,1229,1230,1231,1232,1224,1225,1226,1227,1228,1229,1230,1231,1232,1224,1225,1226,1227,1228,1229,1230,1231,1232,1224,1225,1226,1227,1228,1229,1230,1231,1232,1224,1225,1226,1227,1228,1229,1230,1231,1232,1224,1225,1226,1227,1228,1229,1230,1231,1232,1224,1225,1226,1227,1228,1229,1230,1231,1232,1224,1225,1226,1227,1228,1229,1230,1231,1232,1224,1225,1226,1227,1228,1229,1230,1231,1232,1224,1225,1226,1227,1228,1229,1230,1231,1232,1224,1225,1226,1227,1228,1229,1230,1231,1232,1224,1225,1226,1227,1228,1229,1230,1231,1232,1224,1225,1226,1227,1228,1229,2079,2080
